Batrach,paraphrase,line
ἐφθέγξατο,ἐφθέγξατο,92
ἐφθέγξατο,ἀφῆκεν,271
φθειρομένοισιν,καταπονουμένοις,293
φίλον ἄξιον,φιλίας ἄξιον,15
φίλον,φίλον,32
φιλότητι,ἐπιθυμίαι,20
ἐφόβησε,εἰς φόβον ἐνέβαλεν,289
ἐς φόβον ἦλθεν,,224
φραξάμενοι,καθοπλισθέντες,166
φρένας,διανοίας,145
φρένας,διάνοιαν,181
φρένας,νοῦν,188
φύγηι,διαφύγηι,249
φῦλα,γένη,283
φυσάς,γεννήσας,13
ἐς φύσιν,κατὰ φύσιν,32
φωνήν,φωνήν,271
φώνησέν,εἶπεν,24
ἔχαιρεν,ἥδετο καὶ εὐφραίνετο,67
χαίτας,τρίχας,70
χαμαί,ἐπὶ τὴν γῆν,245
χείλεσσιν,χειλέων,154
χειλοτένοντες,χεῖρας ἐκτεταμένας ἔχοντες,297
χειρὶ παχείηι,παχείαι καὶ ἰσχυρᾶι χειρὶ,239
χειρὶ παχείηι,χειρὶ παχείαι καὶ ἰσχυρᾶι,246
χλοερῶν,χλωρῶν,162
χλωρούς,χλωρούς,125
χορὸν,σύλλογον,1
χρησαμένη,δανεισαμένη,186
χρηστὸν,ἀγαθόν,38
ἔχρισε,ἔχρισε,238
ψαλιδόστομοι,ὅμοια ψαλίδι στόματα ἔχοντες,295
ψευδόμενόν,ψεύματα λέγοντα,14
ψυχή,ψυχή,208
ψυχή,ψυχή,236
ὠργίσθη,ἐθυμώθη,239
ὥρμησεν,ὥρμησαν,258
ὡς,ὥσπερ,8
ὠχρὸν,πελλὸν,81
ὢ πόποι,φεῦ φεῦ,272
